timestamp,value
2024-02-01 00:00,100
2024-02-01 01:00,101
2024-02-01 02:00,99
2024-02-01 03:00,100
2024-02-01 04:00,101
2024-02-01 05:00,100
2024-02-01 06:00,99
2024-02-01 07:00,100
2024-02-01 08:00,101
2024-02-01 09:00,102
2024-02-01 10:00,101
2024-02-01 11:00,102
2024-02-01 12:00,101
2024-02-01 13:00,102
2024-02-01 14:00,103
2024-02-01 15:00,102
2024-02-01 16:00,103
2024-02-01 17:00,102
2024-02-01 18:00,101
2024-02-01 19:00,102
2024-02-01 20:00,103
2024-02-01 21:00,102
2024-02-01 22:00,101
2024-02-01 23:00,102
2024-02-02 00:00,103
2024-02-02 01:00,104
2024-02-02 02:00,104
2024-02-02 03:00,105
2024-02-02 04:00,105
2024-02-02 05:00,106
2024-02-02 06:00,106
2024-02-02 07:00,107
2024-02-02 08:00,107
2024-02-02 09:00,108
2024-02-02 10:00,108
2024-02-02 11:00,109
2024-02-02 12:00,109
2024-02-02 13:00,110
2024-02-02 14:00,110
2024-02-02 15:00,109
2024-02-02 16:00,108
2024-02-02 17:00,107
2024-02-02 18:00,106
2024-02-02 19:00,105
2024-02-02 20:00,104
2024-02-02 21:00,103
2024-02-02 22:00,102
2024-02-02 23:00,101
